content_id,client_id,baseline_score,reason_code,impressions_90d,ctr,days_since_last_update,is_declining_label
content_d498c2ff01b8,client_6208ef0f77,0,low_ctr_visible_page,5451,0.04,104,1
content_d5e414a6e955,client_19581e27de,0,low_ctr_visible_page,800,0.0,22,0
content_b7fc66f280be,client_19581e27de,0,no_flag,13502,1.04,22,0
content_0ee9b22a5999,client_4e07408562,0,no_flag,219,0.46,104,1
content_c7853dea9775,client_19581e27de,0,no_flag,292,0.0,104,0
content_e2ee9ea4bf43,client_6208ef0f77,0,no_flag,3594,0.11,20,1
content_27c07c5ddfa9,client_4e07408562,0,no_flag,2173,1.01,14,0
content_b19958b86bca,client_19581e27de,0,no_flag,2893,0.1,22,1
content_2f3532702ecc,client_4e07408562,0,no_flag,7622,0.52,20,1
content_adc8d1c2b00c,client_f369cb89fc,0,no_flag,4684,0.73,20,1
content_99aa6e14787a,client_4e07408562,0,no_flag,14188,0.75,104,0
content_ffc437abf31c,client_f369cb89fc,0,no_flag,2490,0.2,20,1
content_7b189ae6cac5,client_8722616204,0,no_flag,5,0.0,8,0
content_0afaa11c1d32,client_19581e27de,0,no_flag,2715,0.52,104,1
content_007bfa9ab788,client_f74efabef1,0,no_flag,562,0.36,20,1
content_2869acd96e48,client_4e07408562,0,no_flag,354,0.0,104,1
content_57971022aadc,client_4e07408562,0,no_flag,60739,0.4,25,1
content_2ff48634c590,client_8527a891e2,0,no_flag,29,0.0,104,1
content_0ef518e44e5c,client_f369cb89fc,0,no_flag,164,0.61,20,1
content_33da44cb09c9,client_4e07408562,0,no_flag,114528,0.18,14,1
content_4f1966b37335,client_b4944c6ff0,0,no_flag,3156,0.16,20,0
content_7f042da65255,client_19581e27de,0,no_flag,38483,0.08,22,0
content_01618358b525,client_4e07408562,0,no_flag,2110,0.09,13,0
content_36a35e71b928,client_19581e27de,0,no_flag,398,0.75,104,1
content_0d685d0e6c2a,client_4e07408562,0,no_flag,25645,0.17,20,0
content_0123edbcf8fb,client_349c41201b,0,low_ctr_visible_page,2980,0.03,8,0
content_d6f4059cde19,client_19581e27de,0,low_ctr_visible_page,1258,0.0,104,1
content_9beddb3e7ac7,client_d029fa3a95,0,no_flag,242,0.41,8,1
content_e7ad40523cbc,client_4e07408562,0,low_ctr_visible_page,718,0.0,7,0
content_e4ce5e4845ff,client_e29c9c180c,0,no_flag,1,0.0,20,0
content_c3864767af8f,client_19581e27de,0,no_flag,8626,0.17,104,1
content_4ef69f179958,client_434c9b5ae5,0,no_flag,496,0.4,89,0
content_95cf24054018,client_f369cb89fc,0,no_flag,18367,0.42,20,1
content_d866e1f09405,client_f369cb89fc,0,no_flag,8894,0.29,20,0
content_72348d55e12c,client_e629fa6598,0,no_flag,62,0.0,22,0
content_f76b915f08db,client_d029fa3a95,0,no_flag,34,0.0,20,1
content_848779dc2781,client_4e07408562,0,no_flag,21807,0.31,14,1
content_428091827d49,client_6208ef0f77,0,no_flag,8785,0.6,104,1
content_c90c7cab5965,client_8527a891e2,0,no_flag,6,0.0,20,1
content_4321f2eb666f,client_e29c9c180c,0,no_flag,5,0.0,20,1
content_daabedc0fedf,client_19581e27de,0,no_flag,8347,0.08,104,0
content_59575842bbe3,client_6208ef0f77,0,no_flag,521,0.19,20,1
content_ad874bac10d3,client_7f2253d7e2,0,no_flag,3764,1.73,20,1
content_1609426dd7d8,client_6208ef0f77,0,low_ctr_visible_page,5034,0.02,104,1
content_c1a9429f1310,client_3fdba35f04,0,no_flag,2873,0.07,104,1
content_2ec5acd4f436,client_d029fa3a95,0,no_flag,20,0.0,20,1
content_9525864e2b43,client_19581e27de,0,no_flag,198,0.0,20,0
content_978819fd5a88,client_19581e27de,0,no_flag,6860,0.09,104,0
content_1adb8c644224,client_9400f1b21c,0,no_flag,5198,0.29,20,1
